Date,Nissan Leaf,Smart ED,Mitsubishi I EV,BMW Active E,Ford Focus,Honda Fit EV,Tesla Model S,Toyota RAV4 EV,Chevrolet Spark
2010-12,19,0,,,,,,,
2011-01,87,16,,,,,,,
2011-02,67,16,,,,,,,
2011-03,298,0,,,,,,,
2011-04,573,0,,,,,,,
2011-05,1142,8,,,,,,,
2011-06,1708,0,,,,,,,
2011-07,931,1,,,,,,,
2011-08,1362,1,,,,,,,
2011-09,1031,0,,,,,,,
2011-10,849,17,,,,,,,
2011-11,672,101,,,,,,,
2011-12,954,182,76,,,,,,
2012-01,676,0,36,112,,,,,
2012-02,478,2,44,115,,,,,
2012-03,579,0,56,326,,,,,
2012-04,370,0,79,30,,,,,
2012-05,510,0,85,11,6,,,,
2012-06,535,127,33,79,89,,,,
2012-07,395,6,33,0,38,7,,,
2012-08,685,1,37,0,34,9,100,,
2012-09,984,0,36,0,59,16,150,61,
2012-10,1579,0,30,-2,118,16,450,47,
2012-11,1539,3,42,0,172,26,800,32,
2012-12,1489,0,77,0,167,19,900,52,
2013-01,650,1,257,0,81,8,1350,25,
2013-02,653,1,337,0,158,15,1450,52,
2013-03,2236,0,31,0,180,23,1950,133,
2013-04,1937,0,127,0,147,22,2100,70,
2013-05,2138,60,91,0,157,15,2000,84,
2013-06,2225,53,39,0,177,208,1800,44,27
