Make,Honda,Toyota,Honda,Ford,Honda,Toyota,Lexus,Toyota,Lexus,Lexus,Nissan,Lexus,Saturn,Chevrolet,Chevrolet,Saturn,Dodge,Chevrolet,Ford,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mazda,BMW,BMW,Honda,Lincoln,Porsche,Lexus,Volkswagen,Infinity,Hyundai,Buick,Buick,Porsche,Kia,Acura,Ford,Lexus,Audi,Toyota,Volkswagen,Mercedes-Benz,Infiniti,Chevrolet,Infiniti,Nissan,Subaru,Acura,Lexus,Toyota,Acura,Kia,Hyundai,Chevrolet,Toyota,Ford,Honda,Ford,Porsche,Cadillac,BMW,Porsche,Mercedes-Benz,Volvo,BMW,Hyundai,Audi,BMW,Mercedes-Benz,BMW,Mercedes-Benz,Kia,Nissan,Smart,Mitsubishi,BMW,Ford,Honda,Tesla,Toyota,Chevrolet,Fiat,BMW,Mercedes-Benz,Volkswagen,Kia,Tesla,Chevrolet,Hyundai,Toyota,Honda
Model,Insight,Prius,Civic,Escape,Accord,Highlander,RX 450h,Camry,GS 450h,HS 250h,Altima,LS 600hL,Vue,Tahoe,Malibu,Aura,Durango,Silverado,Fusion,S400,ML450,E320,Tribute,X6,Activehybrid3&5&7,CR-z,MKZ,Cayenne,CT 200h,Touareg,Q70 (M35h),Sonata,LaCrosse,Regal,Panamera S,Optima,ILX,C-Max,ES Hybrid,Q5 Hybrid,Avalon,Jetta,E400H,Q50,Impala Hybrid,QX60,Pathfinder Hybrid,XV,RLX,NX Hybrid,RAV4,NSX,Niro Hybrid,Ioniq Hybrid,Volt,Prius Plug-in,C-Max Energi,Accord,Fusion Energi,Panamera S E-Hybrid,ELR,i8,Cayenne S E-hybrid,S550 Plug,XC90 Plug In,X5,Sonata Plug In,A3 Plug In,3-series Plug-In,GLE 550e,7-series Plug-in,C350We,Optima Plug-in,LEAF,ED,I EV,Active E,Focus,Fit EV,Model S,RAV4 EV,Spark,500E,i3,B-Class,e-Golf,Soul EV,Model X,Bolt,Tucson,Mirai,Clarity
Type,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,HEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,PHEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,BEV,FCEV,FCEV,FCEV
2005-01,7,5566,1169,908,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02,22,7078,1353,1092,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03,56,10236,2896,1569,1862,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04,90,11345,3466,1705,2023,,2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05,52,9461,1895,1234,1314,35,2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06,69,9622,1852,1126,1080,2869,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07,68,9691,2329,1168,1376,2564,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08,80,9850,4146,1363,2336,2925,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09,83,8193,1916,1808,2352,2715,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10,37,9939,231,1313,1266,2330,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11,60,7889,2083,1121,837,2353,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12,42,9027,2528,1553,720,2198,2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01,59,7654,3166,898,351,2263,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02,72,6547,1781,1341,783,2631,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03,79,7922,2232,1590,581,2987,2470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04,110,8234,3087,3420,614,3768,2247,86,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05,92,8103,2890,2862,520,3755,2006,3032,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06,77,9696,2601,1884,396,2705,1190,4268,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,91,11114,2673,2060,504,2784,1220,5023,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08,109,11177,3411,1789,499,2581,1514,4977,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09,19,10492,2508,1651,389,2347,1687,4044,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10,9,8733,2288,1602,287,1643,1239,2806,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
