Make,Model,Type,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02
Honda,Insight,HEV,7,22,56,90,52,69,68,80,83,37,60,42,59,72,79,110,92,77,91,109,19,9,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,2096,2780,2079,2295,4226,1746,1739,1403,1639,1307,2014,1652,1880,1913,1491,1858,2030,1679,1965,1536,1637,1554,1722,2782,2644,1435,1021,987,961,512,492,749,690,492,773,1032,738,512,494,419,341,246,251,238,310,319,388,454,391,426,384,420,438,299,463,402,418,317,339,410,441,493,333,291,290,240,222,278,311,223,211,209,183,139,126,113,85,64,53,30,22,19,0,2,9,9,9,5,9,1,0,3,9,1,0
Toyota,Prius,HEV,5566,7078,10236,11345,9461,9622,9691,9850,8193,9939,7889,9027,7654,6547,7922,8234,8103,9696,11114,11177,10492,8733,8008,9291,8299,12227,19156,13056,24009,17756,16062,14055,12494,13158,16737,14212,11379,10895,20635,21757,15011,11765,14785,13463,10873,11804,8660,7859,8121,7232,8924,8385,10091,12998,19173,18886,10984,13496,9617,11775,8484,7968,11786,12555,14248,10998,14102,11799,11394,11731,10224,15639,10635,13539,18605,12477,6924,4340,7907,9491,9325,11008,15208,17004,11555,20589,27800,23514,20391,18455,15955,20064,17280,14885,14739,18679,14898,17119,21354,19290,22844,20495,22477,25567,14738,13528,15029,14801,11402,11820,17130,16270,24101,17078,19304,22619,13924,13032,13506,13922,11843,11621,15565,14807,18836,14587,17340,17413,15894,15112,12531,15054,9301,10544,12068,11921,12513,11016,12690,12982,12471,8132,9714,10803,6463,7682
Honda,Civic,HEV,1169,1353,2896,3466,1895,1852,2329,4146,1916,231,2083,2528,3166,1781,2232,3087,2890,2601,2673,3411,2508,2288,2208,2408,1783,1924,2813,2855,4520,3246,2493,2102,2092,2286,3238,3223,1745,1808,3769,4324,4676,2710,3440,3105,2020,1621,1043,1036,1076,1362,2869,3361,2077,1583,969,717,152,239,243,471,253,346,579,621,717,595,617,761,667,662,612,906,653,532,441,121,268,418,311,106,305,480,503,565,449,741,906,766,708,548,471,579,493,453,530,512,429,433,572,569,570,568,578,697,402,1158,1031,712,439,443,338,450,415,410,409,503,360,395,432,476,320,358,351,386,458,391,463,590,613,455,239,263,161,143,166,92,83,62,60,50,38,14,15,12,16,8
Ford,Escape,HEV,908,1092,1569,1705,1234,1126,1168,1363,1808,1313,1121,1553,898,1341,1590,3420,2862,1884,2060,1789,1651,1602,1484,1968,1238,1696,2523,2275,3214,2526,1578,1833,1652,2084,2224,2265,1474,1743,2008,1907,2378,1912,1265,1338,990,1997,1361,1149,880,1294,1351,1134,1827,1405,2543,2102,878,949,960,1157,715,782,1282,1119,1383,1360,1220,790,842,809,814,972,520,795,1195,1070,1118,826,652,563,566,573,1131,1080,345,434,162,0,206,17,50,34,81,9,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda,Accord,HEV,805,855,1862,2023,1314,1080,1376,2336,2352,1266,837,720,351,783,581,614,520,396,504,499,389,287,311,363,248,312,385,318,439,342,260,275,229,243,204,150,48,42,53,25,16,7,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,23,530,426,525,910,1346,1442,1530,1135,1362,1175,1095,1130,1094,1233,805,832,948,1118,1463,1241,1481,1369,854,442,289,223,71,68,51,29,15,31,565,890,1160,1296,1879,3124,1711,1867
Toyota,Highlander,HEV,,,,,35,2869,2564,2925,2715,2330,2353,2198,2263,2631,2987,3768,3755,2705,2784,2581,2347,1643,1667,2354,1810,1892,2501,2394,3312,2403,1205,378,193,596,2577,2791,2143,1938,2239,2578,2644,1511,1371,1227,921,1022,907,890,984,956,1037,933,1351,1098,1171,836,269,700,722,1029,526,339,594,692,683,611,575,486,523,756,722,949,689,707,797,380,149,74,185,226,218,239,322,563,362,474,607,552,560,496,469,449,413,466,485,588,452,441,477,495,545,550,410,440,325,331,332,272,145,105,333,418,355,280,214,288,303,327,425,428,268,256,295,305,323,311,304,377,367,375,318,516,375,396,492,442,473,528,524,506,383,356,483,1018,571,1339
Lexus,RX 450h,HEV,,,13,2345,2931,2605,2262,2607,2113,1904,1722,2172,1477,1803,2470,2247,2006,1190,1220,1514,1687,1239,1327,1981,1245,1249,1471,1384,1746,1562,1385,1172,979,1392,1674,2032,1211,1148,1570,1624,2155,1330,1439,1277,744,615,624,1463,1556,1502,1165,655,393,527,1369,1754,1168,1567,1210,1598,1016,890,1251,1232,1358,1304,1356,1370,1112,1402,1293,1535,912,999,1438,1167,610,413,671,841,650,861,928,1233,753,826,992,801,1011,1193,1171,1170,944,997,971,1394,744,756,925,688,885,900,962,1116,815,1258,1105,1153,637,621,852,387,837,872,914,1090,695,728,788,930,521,494,641,492,551,486,530,599,443,514,958,1493,790,752,886,899,719,684,684,574,387,535,666,985,443,507
Toyota,Camry,HEV,,,,,,,,,,,,,,,,86,3032,4268,5023,4977,4044,2806,3100,4005,2801,3332,5144,4410,6853,5530,4329,4284,4196,3511,5118,4969,3750,4121,6930,6678,5999,3054,2645,3456,2785,2792,2174,1888,1141,2080,2554,2198,2941,2093,2509,2114,872,1407,1465,1513,867,1011,1549,1655,1455,1097,1276,1165,1104,1194,983,1231,860,993,1437,1110,592,449,393,318,229,333,730,1797,2116,3750,5404,4406,4403,3471,3197,3840,3704,2986,3936,4443,3826,4147,4461,3257,4265,3878,4193,4729,3069,2903,2994,2726,1978,2517,4287,3916,5199,3874,4609,4320,1986,2161,2220,2448,2143,2110,2739,2650,3174,2755,2756,3314,2629,2545,1964,1861,1256,1599,1746,1975,2055,1649,2214,2155,1902,1802,1693,2181,1238,1333
Lexus,GS 450h,HEV,,,,,,,,,,,,,,,,141,294,231,157,192,164,177,176,252,167,160,181,174,181,131,142,130,72,71,100,136,64,77,65,82,98,73,40,35,29,22,42,51,41,22,42,33,43,27,45,48,38,39,37,54,41,22,31,25,38,22,16,15,18,29,18,30,19,33,24,29,18,24,26,17,18,19,22,33,25,20,12,10,42,75,60,94,89,68,60,52,34,38,56,34,39,55,63,69,31,34,25,44,30,23,25,35,9,15,8,13,3,2,9,11,8,10,9,12,8,7,11,4,7,7,5,3,5,5,8,16,7,3,12,3,4,0,1,6,6,5
Lexus,HS 250h,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,1242,1527,1407,1980,1247,712,1494,1076,1360,603,165,594,711,792,788,1121,286,183,230,279,220,159,306,284,231,205,207,274,152,150,261,28,21,10,5,7,8,3,3,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan,Altima,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,206,462,483,821,804,1131,643,756,927,1191,964,473,529,832,801,1607,1333,715,442,470,554,353,710,644,463,834,222,345,666,1030,3164,345,299,503,842,1059,619,394,330,1167,479,378,284,511,443,434,612,365,366,545,334,499,250,204,318,217,49,55,34,27,22,18,10,9,3,7,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexus,LS 600hL,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,196,175,170,129,105,112,113,122,112,73,83,71,47,55,37,50,33,22,25,19,27,31,28,10,12,21,15,15,9,15,9,7,8,4,14,15,9,9,13,17,8,7,9,10,1,4,6,9,8,9,5,9,8,6,5,8,6,6,1,0,1,5,2,6,14,22,12,15,11,10,6,5,3,6,5,6,11,11,7,9,5,5,6,4,0,2,1,4,5,7,7,5,7,1,5,3,3,1,0,3,3,2,4,5,2,1,2,11,6,0,2,2,0,0
Saturn,Vue,HEV,,,,,,,,,,,,,,,,,,,,,,,,,793,793,793,793,797,,,,,,,,135,135,135,135,340,277,362,417,443,354,328,338,153,188,362,338,227,239,269,414,90,56,134,186,14,4,8,4,3,14,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Tahoe,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,234,234,234,589,547,351,798,1101,795,767,1729,599,632,609,523,641,547,538,562,615,792,489,645,278,315,368,399,565,368,262,252,215,245,213,377,217,191,278,276,229,129,115,76,31,88,79,168,76,151,227,144,161,124,132,135,110,146,171,224,97,91,109,116,154,120,58,83,45,55,51,57,21,12,26,14,14,21,6,7,2,5,6,3,3,8,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Malibu,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,112,112,112,282,295,349,388,382,325,195,454,145,197,547,547,706,489,476,441,156,114,212,132,67,68,80,67,41,36,14,12,2,6,7,5,0,0,0,0,2,22,0,0,0,0,0,0,1,350,1416,1557,1642,2002,1938,2414,1656,1266,1041,1381,981,1254,1359,1551,1695,1651,1338,1582,858,819,425,266,232,202,191,130,94,62,30,21,10,17,14,15,6,8,8,4,2,27,1,0,1,1,0,1,0,0,2,1,246,371,416,522,618,600,769,790,339,534
Saturn,Aura,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,15,36,30,29,26,31,22,45,34,19,23,26,31,35,56,24,65,30,30,29,159,25,2,4,0,2,5,4,3,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,Durango,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
